2411;Accountants;registercontroller, registeraccountant, intern accountant, inspecteur accountantsdienst, fiscalist, fiscaal adviseur, financial controller, edp-auditor, controller, concern controller, compliance officer, belastingadviseur, bedrijfsfiscalist, auditor, audit manager, accountant;;;
2412;Financieel en beleggingsadviseurs;signaalcoördinator bank, private banker, portfoliomanager beleggingen, lease consultant, garantieadviseur, financieel adviseur, cliëntadviseur bankbedrijf, bedrijvenadviseur bankbedrijf, accountmanager financieringen;;;
2413;Financieel analisten;treasurer, risk analist, risicomanager, risicoanalist assets, investment analist, beleggingsanalist;;;
2421;Bedrijfs- en organisatieanalisten;wetenschappelijk onderzoeker bestuurskunde, wetenschappelijk onderzoeker bedrijfskunde, wetenschappelijk onderzoeker bedrijfs- en consumentenwetenschappen, procesontwerper, -beheerder, procesanalist, organisatieadviseur (technisch), organisatieadviseur, medewerker planning en control, kwaliteitsfunctionaris, kwaliteitscoördinator, itil-procesmanager, intern consultant, huishoudwetenschapper, changemanager, business intelligence consultant, business developer, business consultant, bedrijfsorganisatiedeskundige, bedrijfskundige, bedrijfsanalist, bedrijfsadviseur, auditor kwaliteitszorg, adviseur bedrijfsvoering;;;
2422;Specialisten op het gebied van beleidsadministratie;secretaris raad van bestuur, secretaris overheidsdiensten, directiesecretaris, directieadviseur, consultant administratieve organisatie, bestuurskundige, bestuursadviseur, beleidsonderzoeker, beleidsondersteuner, beleidsmedewerker, beleidscoördinator, beleidsanalist, beleidsambtenaar, beleidsadviseur;;;
2423;Specialisten op het gebied van personeelszaken en loopbaanontwikkeling;verzuimcoördinator, verzuimbegeleider, trajectbegeleider, recruiter, personeelsfunctionaris, personeelsadviseur, loopbaanadviseur, hr-adviseur, functieanalist, beroepskeuzeadviseur, arbeidsdeskundige, adviseur personeelsorganisatie, adviseur human resource management, adviseur arbeidsverhoudingen, account specialist werving en selectie, account specialist uitzendbureau;;;
2424;Specialisten op het gebied van personeelsopleidingen;trainer communicatieve vaardigheden, opleidingsfunctionaris (p&o), crew trainer, bedrijfstrainer, bedrijfsopleider;;;
2431;Specialisten op het gebied van reclame en marketing;sales promotor, sales coordinator, sales consultant, retailadviseur, reclameontwerper, reclameadviseur, productmanager, netwerkmarketeer, mediaplanner, mediaconsultant, media director reclame, marktonderzoeker, marketingmedewerker, marketingadviseur, marketing professional, marketeer, database marketeer, creative director reclame, copywriterreclame, consultant marketing en communicatie, commercieel adviseur, category manager, brand manager, art director reclame, adviseur marketing en communicatie, adviseur e-business, account executive reclame, account director reclame, account assistent reclame;;;
2432;Specialisten op het gebied van public relations;woordvoerder, publieksvoorlichter, pr-medewerker, pr-adviseur, pers-, publieksvoorlichter, medewerker voorlichting, communicatiemedewerker, communicatieadviseur, campagnecoördinator;;;
2433;Technisch verkopers en artsenbezoekers (m.u.v. ICT);vertegenwoordiger technische producten, vertegenwoordiger chemische producten, technisch vertegenwoordiger, dierenartsenbezoeker, commercieel-technisch medewerker infra, commercieel-technisch medewerker buitendienst, artsenbezoeker, accountmanager technische producten, accountmanager medische producten, accountmanager chemische producten, accountmanager agrarische producten;;;
2434;Verkopers informatie- en communicatietechnologie;vertegenwoordiger software, vertegenwoordiger ict, accountmanager ict, accountmanager hardware, accountmanager automatisering;;;
2511;Systeemanalisten;wetenschappelijk onderzoeker informatica, teamleider ict, system engineer, systeemspecialist, systeemontwikkelaar, systeemontwerper, systeemarchitect, systeemanalist, projectleider ict, projectleider automatisering, kennistechnoloog, it-adviseur, informatieanalist, informaticus, ict consultant, ict architect, functioneel ontwerper ict, enterprise architect, consultant ict, business systems analist, business analist, automatiseringsdeskundige, adviseur methoden en technieken ict, adviseur informatievoorziening, adviseur ict, adviseur crm-systemen;;;
2512;Softwareontwikkelaars;softwarespecialist, softwareontwikkelaar, softwareontwerper, software designer, software consultant, software architect, embedded software engineer, application engineer, application developer, applicatiespecialist, applicatieontwikkelaar, applicatieontwerper, applicatie-engineer;;;
